X,Y,PUMA,Name,birthplace
-117.18761981205601,33.0277479483732,7309,San Diego County (West)--San Diego (Northwest/San Dieguito) & Encinitas Cities PUMA,Denmark
-116.960210007984,32.8158952224205,7313,San Diego County (Central)--El Cajon & Santee Cities PUMA,Iraq
-117.16905310701799,32.8050277236765,7315,San Diego County (West Central)--San Diego City (Central/Clairemont & Kearny Mesa) PUMA,Kuwait
-121.95414726948401,37.3740812271562,8503,Santa Clara County (Northwest)--San Jose (Northwest) & Santa Clara Cities PUMA,India
-122.47944308285601,37.7533250550665,7505,San Francisco County (Central)--Sunset District (North) PUMA,Hong Kong
-122.410456747273,37.802368668933,7502,San Francisco County (North & East)--North Beach & Chinatown PUMA,Bermuda
-121.384275292693,38.5122902455258,6708,"Sacramento County--Sacramento City (Southeast/Fruitridge, Avondale & Depot Park) PUMA",Laos
-121.384275292693,38.5122902455258,6708,"Sacramento County--Sacramento City (Southeast/Fruitridge, Avondale & Depot Park) PUMA",Thailand
-121.38134570403999,38.6518546047956,6704,"Sacramento County (North Central)--North Highlands, Foothill Farms & McClellan Park PUMA",Afghanistan
-121.485962141304,38.4831872355194,6709,"Sacramento County--Sacramento City (Southwest/Pocket, Meadowview & North Laguna) PUMA",Fiji
-117.787329426769,33.595907272256696,5903,"Orange County (West Central)--Newport Beach, Aliso Viejo & Laguna Hills Cities PUMA",Netherlands
-98.44759796584991,29.3676859833683,5903,San Antonio City (Southeast)--Inside Loop I-410 PUMA,Netherlands
-117.862335166473,33.7368421150969,5917,Orange County (Central)--Santa Ana City (East) PUMA,Mexico
-117.943391937682,33.7777679270856,5913,Orange County (Northwest)--Garden Grove City (East) PUMA,Vietnam
-98.3747186407909,29.4952364059041,5913,"San Antonio (Northeast), Kirby & Windcrest Cities PUMA",Vietnam
-118.72003642497299,34.0907603441568,3726,"Los Angeles County--Calabasas, Agoura Hills, Malibu & Westlake Village Cities PUMA",Czechoslovakia
-117.16401550799299,33.4928572723854,6503,Riverside County (Southwest)--Temecula City PUMA,New Zealand
-118.16778394528099,33.7876969298797,3769,Los Angeles County (Southeast)--Long Beach (Central) & Signal Hill Cities PUMA,Cambodia (Kampuchea)
-118.479836314289,34.0201891800713,3728,Los Angeles County (Southwest)--Santa Monica City PUMA,England
-118.33884396864201,33.8392407549393,3761,Los Angeles County (South Central)--Torrance City PUMA,Japan
-118.259242331581,33.8351209349493,3762,Los Angeles County (South Central)--Carson City PUMA,Philippines
-118.297048001814,33.9684731494059,3750,Los Angeles County (South Central)--LA City (South Central/Westmont) PUMA,El Salvador
-118.346065185733,34.015215036725806,3747,Los Angeles County (Central)--LA City (Central/West Adams & Baldwin Hills) PUMA,Belize/British Honduras
-118.246767111235,34.1818155480266,3719,Los Angeles County (Central)--Glendale City PUMA,Armenia
-118.246767111235,34.1818155480266,3719,Los Angeles County (Central)--Glendale City PUMA,Iran
-118.062819049648,34.1219796673408,3717,"Los Angeles County (East Central)--Arcadia, San Gabriel & Temple City Cities PUMA",Taiwan
-117.859529133033,33.9828895160798,3714,"Los Angeles County--Diamond Bar, La Habra Heights (East) Cities & Rowland Heights PUMA",Indonesia
-118.110739251903,34.0569223229926,3737,Los Angeles County (Central)--Monterey Park & Rosemead Cities PUMA,China
-118.26084272406,34.081269713048805,3734,"Los Angeles County--LA City (East Central/Silver Lake, Echo Park & Westlake) PUMA",Guatemala
-118.296563290425,34.0618113246271,3733,Los Angeles County (Central)--LA City (Central/Koreatown) PUMA,Korea
-118.296563290425,34.0618113246271,3733,Los Angeles County (Central)--LA City (Central/Koreatown) PUMA,Mongolia
-122.172136046999,45.5240305894305,1316,Multnomah County (East)--Gresham & Troutdale Cities PUMA,Congo
-122.41138733804199,47.134353511013096,11504,"Pierce County (South Central)--Tacoma City (South), Parkland & Spanaway PUMA",Moldavia
-122.41138733804199,47.134353511013096,11504,"Pierce County (South Central)--Tacoma City (South), Parkland & Spanaway PUMA",Northern Mariana Islands
-122.41138733804199,47.134353511013096,11504,"Pierce County (South Central)--Tacoma City (South), Parkland & Spanaway PUMA","Samoa, 1940-1950"
-122.828750207712,46.90599814187139,11402,Thurston County (Outer) PUMA,Germany
-122.17204730253201,47.2853455020329,11614,King County (Southwest)--Auburn City & Lakeland PUMA,Marshall Islands
-122.34631315131,47.551868095256395,11605,Seattle City (West)--Duwamish & Beacon Hill PUMA,Tunisia
-122.720614653593,47.515536907241895,11802,Kitsap County (South)--Bremerton & Port Orchard Cities PUMA,Guam
-110.968406083458,32.264047760969895,207,Tucson City (Northwest) PUMA,Micronesia
-112.411201520687,33.4506894570945,132,"Maricopa County--Goodyear, Glendale (West) & Litchfield Park (Northwest) Cities PUMA",Singapore
-112.08829256157401,33.6203891334694,115,Phoenix City (Northwest Central) PUMA,Ireland
-89.93130934309629,35.21118949409001,3203,Memphis (North) & Bartlett (Southwest) Cities PUMA,Lebanon
-88.08981751074829,41.77090502905921,3203,DuPage County (South Central)--Lisle Township PUMA,Lebanon
-83.2336617555892,42.3138764374262,3203,Wayne County (Central)--Dearborn & Dearborn Heights Cities PUMA,Lebanon
-73.4908831272395,40.7687010353371,3203,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,Lebanon
-75.0603831417201,40.0203576210822,3203,Philadelphia City (Near Northeast-East) PUMA,Lebanon
-97.15276773917401,31.5496369025354,3801,Heart of Texas COG--McLennan County--Waco City (Central) PUMA,Dominican Republic
-73.9307284151992,40.856048578098395,3801,"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA",Dominican Republic
-94.6136976842737,31.4467912765727,4000,Deep East Texas COG (Central)--Angelina & Nacogdoches Counties PUMA,Cape Verde
-82.07355228845451,33.359631796385,4000,Central Savannah River Area Regional Commission (East Central)--Richmond County PUMA,Cape Verde
-71.05692897165609,42.101210748295294,4000,"Plymouth & Norfolk Counties--Brockton City, Stoughton & Avon Towns PUMA",Cape Verde
-78.0042240799639,35.36368465684671,4000,Wayne County PUMA,Cape Verde
-83.0047776538663,40.2783681836279,4000,Delaware County PUMA,Cape Verde
-94.17375411948429,29.8653719638724,4302,Jefferson County (Outside Beaumont City)--Port Arthur City PUMA,Azores
-71.1091066244426,41.7197355963783,4302,Bristol County (Central)--Fall River City & Somerset Town PUMA,Azores
-97.46290182859671,32.788253454706,2515,Tarrant County (West)--Fort Worth City (West) PUMA,Iceland
-97.31732851169441,32.8118254572614,2512,Fort Worth City (North Central) & Haltom City (North)--Inside Loop I-820 PUMA,Eritrea
-97.203825251175,32.799809920007704,2509,Fort Worth (Northeast) & Hurst (South) Cities--North of I-30 PUMA,"Africa, ns/nec"
-97.0858087754295,32.6397439189798,2504,Tarrant County (Southeast)--Arlington (Southeast) & Grand Prairie (Southwest) Cities PUMA,South Sudan
-86.70574531442051,36.0462801337895,2504,Nashville-Davidson (Southeast) PUMA,South Sudan
-96.97098061908991,32.8683132470967,2321,Dallas County (Northwest)--Irving (Central) & Dallas (Northwest) Cities PUMA,Nepal
-96.73302565586599,32.889017245542895,2307,Dallas City (Northeast)--East of US-75 PUMA,Burma (Myanmar)
-86.19267649940491,39.6751504542004,2307,Marion County--Perry & Decatur (South & East) Townships--Indianapolis City (South) PUMA,Burma (Myanmar)
-96.7776819874337,32.806403053066695,2313,Dallas City (Downtown)--North of I-30 PUMA,Sweden
-95.8039466541834,29.505761154435703,4905,Fort Bend County (West & South) PUMA,Norway
-95.5059868372397,29.7562379334539,4613,Houston (West) & Hunters Creek Village Cities--Between Loop I-610 & Beltway TX-8 PUMA,Morocco
-95.60313047605379,29.815553865956602,4636,Houston City (West)--East of TX-6 & West of Beltway TX-8 PUMA,Cameroon
-95.60313047605379,29.815553865956602,4636,Houston City (West)--East of TX-6 & West of Beltway TX-8 PUMA,Rwanda
-95.60313047605379,29.815553865956602,4636,Houston City (West)--East of TX-6 & West of Beltway TX-8 PUMA,South Africa (Union of)
-95.59784547070221,29.7249519183781,4637,"Houston City (West)--Westpark Tollway, West of Beltway TX-8 PUMA",Antigua-Barbuda
-95.5930508556413,30.0824799129454,4630,Harris County (Far North)--Tomball City & The Woodlands (Southwest) PUMA,Canada
-95.5148714627041,29.6869791046634,4615,Houston (Southwest) & Bellaire (Southeast) Cities--Between Loop I-610 & Beltway TX-8 PUMA,"Americas, ns"
-95.59329071369748,29.676757882447802,4638,Houston City (Southwest)--East of TX-6 & West of Beltway TX-8 PUMA,Nigeria
-95.3917473423687,29.6276032710534,4617,Houston City (South)--Between Loop I-610 & Beltway TX-8 PUMA,Finland
-95.12189754777599,29.999822754777497,4624,Harris County (Northeast)--Houston City (Far Northeast) PUMA,Scotland
-95.00378315099121,29.818131279511498,4623,Harris County (East)--Baytown City PUMA,Dominica
-82.7681372158703,27.963866669616603,10303,Pinellas County (Central)--Clearwater City (South & Central) PUMA,Greece
-81.07285559494929,28.5239655214217,9510,Orange County (Northeast) PUMA,"Caribbean, ns"
-81.3410133551972,28.5377798481577,9505,Orange County (Central)--Orlando City (East Downtown) & Azalea Park PUMA,Zambia
-81.3780121190613,28.604077053361603,9507,"Orange County (North Central)--Orlando (North), Winter Park & Maitland Cities PUMA",Czech Republic
-81.4376096798227,28.5374683358457,9506,Orange County (Central)--Orlando City (West Downtown) & Pine Hills (Southeast) PUMA,U.S. Virgin Islands
-81.4376096798227,28.5374683358457,9506,Orange County (Central)--Orlando City (West Downtown) & Pine Hills (Southeast) PUMA,Yugoslavia
-80.17203911828571,25.937655736447397,8603,Miami-Dade County (Northeast)--Greater North Miami Beach City (West) PUMA,St. Kitts-Nevis
-80.2026339041047,25.7312594259712,8614,Miami-Dade County (East)--Miami City (East) & Key Biscayne Village PUMA,Spain
-80.15333090613849,25.8284897226792,8612,Miami-Dade County (Northeast)--Miami Beach City & Miami Shores Village PUMA,Belgium
-80.13886243364641,25.928749767204398,8604,Miami-Dade County (Northeast)--Aventura City & Surfside Town PUMA,Argentina
-80.13886243364641,25.928749767204398,8604,Miami-Dade County (Northeast)--Aventura City & Surfside Town PUMA,Israel/Palestine
-80.3176923874287,25.884456744232697,8607,Miami-Dade County (Northeast)--Hialeah City (North Central) PUMA,Uruguay
-80.28919859802551,25.8551451846808,8609,Miami-Dade County (Northeast)--Hialeah City (South Central) PUMA,Cuba
-80.3621412250805,25.697283617494698,8620,"Miami-Dade County (East Central)--Kendall (North), Sunset & Westwood Lakes PUMA",Switzerland
-80.2619887471911,25.772183470016,8615,Miami-Dade County (East Central)--Miami City (West) PUMA,Costa Rica
-80.3579023279183,25.9275584399928,8601,Miami-Dade County (North Central)--Greater Miami Lakes Town PUMA,Colombia
-80.4119127365693,25.8355309743062,8608,"Miami-Dade County (North Central)--Doral, Sweetwater Cities & Fontainebleau PUMA",Venezuela
-80.448536979491,25.699976993731198,8619,Miami-Dade County (Central)--Kendale Lakes (Southwest) & Kendall West (South) PUMA,Chile
-80.4505179570757,25.6424881721934,8621,"Miami-Dade County (Central)--The Hammocks (West), Richmond West (West) & Country Walk PUMA",Peru
-80.2030772395522,25.9068389832963,8605,Miami-Dade County--North Miami City (Southwest) & Golden Glades (West) PUMA,Bahamas
-80.2030772395522,25.9068389832963,8605,Miami-Dade County--North Miami City (Southwest) & Golden Glades (West) PUMA,Haiti
-80.2107509710202,25.783194325219803,8613,Miami-Dade County (Northeast Central)--Miami City (Downtown) PUMA,Honduras
-80.2107509710202,25.783194325219803,8613,Miami-Dade County (Northeast Central)--Miami City (Downtown) PUMA,Nicaragua
-84.1936809634851,33.5337395868782,6002,Atlanta Regional Commission (Southeast)--Henry County (North)--Stockbridge City PUMA,"South America, ns"
-104.30550854132,39.8998995362224,824,DRCOG East Plains--Arapahoe (East) & Adams (East) Counties--Aurora City (Northeast) PUMA,Zimbabwe
-87.8372245870235,41.7747396825821,3409,Cook County (West Central)--Lyons & Stickney Townships PUMA,"Asia, nec/ns"
-87.8620953327227,41.86386355280111,3407,"Cook County (West Central)--Proviso, Riverside & River Forest Townships PUMA",Kosovo
-87.8694480486878,41.952140648309395,3422,"Cook County (West)--Leyden, Norwood Park (South) Townships & Chicago City--O'Hare PUMA",Poland
-87.78107102287821,41.957009842004105,3520,"Chicago City (Northwest)--Portage Park, Dunning & Jefferson Park PUMA",Algeria
-87.9760049258716,42.038264174921,3419,Cook County (Northwest)--Elk Grove & Wheeling (Southwest) Townships PUMA,Bulgaria
-87.8797560030811,41.6500628351697,3410,"Cook County (Southwest)--Orland (West & Central), Palos & Lemont Townships PUMA",Jordan
-87.8797560030811,41.6500628351697,3410,"Cook County (Southwest)--Orland (West & Central), Palos & Lemont Townships PUMA",Lithuania
-87.6276247012334,41.8816708301906,3525,"Chicago City (Central)--Near North Side, Loop & Near South Side PUMA",Austria
-93.35025677998209,45.029024927644905,1404,"Hennepin County--Brooklyn Center, Golden Valley, New Hope & Robbinsdale Cities PUMA",Liberia
-74.30568509646591,40.778451610466796,1404,Essex County (Southwest) PUMA,Liberia
-93.45979965714459,44.8853675097649,1409,Hennepin County--Eden Prairie & Minnetonka Cities PUMA,"Europe, ns."
-93.45979965714459,44.8853675097649,1409,Hennepin County--Eden Prairie & Minnetonka Cities PUMA,Libya
-93.23854115414042,44.9291830162922,1406,Hennepin County--Minneapolis City (Southeast) PUMA,Kenya
-93.23854115414042,44.9291830162922,1406,Hennepin County--Minneapolis City (Southeast) PUMA,Somalia
-93.2652832532691,45.0067211479062,1405,Hennepin County--Minneapolis (North) & St. Anthony Cities PUMA,Northern Ireland
-93.3882179326422,45.11340783378961,1403,"Hennepin County--Brooklyn Park, Maple Grove (East) & Osseo Cities PUMA",Guinea
-93.3882179326422,45.11340783378961,1403,"Hennepin County--Brooklyn Park, Maple Grove (East) & Osseo Cities PUMA",Sierra Leone
-74.2635157243882,40.852605649006705,1403,Essex County (Northwest) PUMA,Guinea
-74.2635157243882,40.852605649006705,1403,Essex County (Northwest) PUMA,Sierra Leone
-93.2976216647419,44.843150703381205,1410,Hennepin County--Bloomington & Richfield Cities PUMA,Togo
-90.34502726433381,38.5564714677992,1807,St. Louis County (Inner Ring South) PUMA,Bosnia
-80.0410402075755,40.3237651520674,1807,Allegheny County (South)--Bethel Park Municipality & Jefferson Hills Borough PUMA,Bosnia
-111.95411802815599,40.1533584547626,49001,"Utah County (West)--Saratoga Springs, Payson & Lehi (Southwest) Cities PUMA",Other n.e.c.
-111.99488697749901,40.7041746012429,35003,"Salt Lake County--West Valley City (Central), Salt Lake City (South Central) & Kearns PUMA",Tanzania
-111.99488697749901,40.7041746012429,35003,"Salt Lake County--West Valley City (Central), Salt Lake City (South Central) & Kearns PUMA",Tonga
-111.78781819206301,40.676739894492705,35005,"Salt Lake County (East Central)--Murray (East), Holladay Cities & Millcreek PUMA",Bhutan
-112.088656536274,40.7568623463108,35001,"Salt Lake County (Northwest)--Salt Lake City (West), West Valley City (West) & Magna PUMA",American Samoa
-112.088656536274,40.7568623463108,35001,"Salt Lake County (Northwest)--Salt Lake City (West), West Valley City (West) & Magna PUMA",Croatia
-87.9565920824947,43.0210563121415,41004,Milwaukee City (South Central) PUMA,Malaysia
-87.92180278662609,43.136540377844895,40101,Milwaukee County (Northeast) PUMA,Saudi Arabia
-85.6453699778999,38.134805920847505,1705,KIPDA Area Development District (West)--Louisville/Jefferson County (South Central) PUMA,Gambia
-71.0897911629281,42.426026271047704,508,Middlesex County (East)--Malden & Medford Cities PUMA,Brazil
-71.0897911629281,42.426026271047704,508,Middlesex County (East)--Malden & Medford Cities PUMA,Uganda
-71.12684676764749,41.916233752443794,4303,"Bristol County--Taunton City, Mansfield, Norton, Raynam, Dighton & Berkley Towns PUMA",Portugal
-82.96745477287,42.4081098773401,3213,Wayne County (Northeast)--I-94 Corridor PUMA,Yemen Arab Republic (North)
-74.0072272722001,40.71737851648761,3810,"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA","United Kingdom, ns"
-73.99214033228971,40.7540203207099,3807,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA",Australia
-73.9444544754808,40.813374149434296,3803,NYC-Manhattan Community District 10--Central Harlem PUMA,Senegal
-73.9444544754808,40.813374149434296,3803,NYC-Manhattan Community District 10--Central Harlem PUMA,"Western Africa, ns"
-73.9555980208031,40.7714958044353,3805,NYC-Manhattan Community District 8--Upper East Side PUMA,Romania
-73.9750792377745,40.7453486126269,3808,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",France
-74.18713454144908,40.544816580445705,3901,"NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale PUMA",Italy
-74.1337277928967,40.5936277988393,3902,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,Albania
-74.1337277928967,40.5936277988393,3902,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,Macedonia
-74.1337277928967,40.5936277988393,3902,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,Montenegro
-74.11905657281571,40.6270070030787,3903,"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA",Sri Lanka (Ceylon)
-73.9809804805015,40.581478363726504,4018,NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA,Azerbaijan
-73.9809804805015,40.581478363726504,4018,NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA,Byelorussia
-73.9809804805015,40.581478363726504,4018,NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA,Other USSR/Russia
-73.9809804805015,40.581478363726504,4018,NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA,"USSR, ns"
-73.9809804805015,40.581478363726504,4018,NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA,Ukraine
-73.9809804805015,40.581478363726504,4018,NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA,Uzbekistan
-73.89968090625399,40.6157846543603,4009,NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA,"West Indies, ns"
-73.9486907146263,40.5949528909906,4016,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA",Kazakhstan
-73.9486907146263,40.5949528909906,4016,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA",Kirghizia
-73.9486907146263,40.5949528909906,4016,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA",Latvia
-73.9936860681618,40.606873841399704,4017,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,Egypt/United Arab Rep.
-73.9936860681618,40.606873841399704,4017,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,Republic of Georgia
-73.982682374276,40.6299309168733,4014,"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA",Hungary
-73.94788828978692,40.6613594571528,4011,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",Panama
-73.9343030665927,40.6476771552398,4010,"NYC-Brooklyn Community District 17--East Flatbush, Farragut & Rugby PUMA",Barbados
-73.9343030665927,40.6476771552398,4010,"NYC-Brooklyn Community District 17--East Flatbush, Farragut & Rugby PUMA",Grenada
-73.9343030665927,40.6476771552398,4010,"NYC-Brooklyn Community District 17--East Flatbush, Farragut & Rugby PUMA",Jamaica
-73.9343030665927,40.6476771552398,4010,"NYC-Brooklyn Community District 17--East Flatbush, Farragut & Rugby PUMA",St. Lucia
-73.9343030665927,40.6476771552398,4010,"NYC-Brooklyn Community District 17--East Flatbush, Farragut & Rugby PUMA",St. Vincent
-73.9343030665927,40.6476771552398,4010,"NYC-Brooklyn Community District 17--East Flatbush, Farragut & Rugby PUMA",Trinidad and Tobago
-73.8551236392496,40.7406285660878,4107,NYC-Queens Community District 4--Elmhurst & South Corona PUMA,Ecuador
-82.93035382529541,39.956582536602795,4107,"Columbus (East), Whitehall & Bexley Cities PUMA",Ecuador
-73.778658259222,40.6916349970519,4112,"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA",Bangladesh
-73.8330000302585,40.6694040317806,4113,NYC-Queens Community District 10--Howard Beach & Ozone Park PUMA,Guyana/British Guiana
-84.4084695521745,39.3801191830299,5401,Butler County (Southeast)--Monroe City & Beckett Ridge PUMA,"Eastern Africa, nec/ns"
-75.4755473934473,40.5960990006376,2803,Allentown City PUMA,Puerto Rico
-75.4755473934473,40.5960990006376,2803,Allentown City PUMA,Syria
-76.8726152913172,36.752604631220606,51145,"Isle of Wight, Southampton Counties, Suffolk & Franklin Cities PUMA",United Arab Emirates
-78.87548389778459,38.5104527815501,51110,Central Shenandoah Planning District Commission (Northeast) PUMA,Zaire
-77.1755858591267,38.837568245528495,59301,"Fairfax County (East Central)--Annandale, West Falls Church & Bailey's Crossroads PUMA",Bolivia
-76.3493953338226,36.84629439716971,51155,Portsmouth & Norfolk (Southwest) Cities PUMA,Slovakia
-77.0867923319241,38.818740762195894,51255,Alexandria City PUMA,Ethiopia
-77.0867923319241,38.818740762195894,51255,Alexandria City PUMA,Ivory Coast
-77.3200291655,38.6227344096678,51246,"Prince William County (Southeast)--Dale City, Lake Ridge & Woodbridge PUMA",Ghana
-76.02815146815409,36.694167300721,51167,Virginia Beach City (South) PUMA,Turkey
-77.3754501669529,38.944977620080294,59307,Fairfax County (Northwest)--Reston (North) & Franklin Farm PUMA,Sudan
-77.45280597929559,38.85627263432,59309,Fairfax County (West Central)--Centreville (North & West) & Chantilly (South & West) PUMA,Pakistan
-116.445494692711,33.6275509669016,6515,"Riverside County--Palm Desert, La Quinta (West) & Desert Hot Springs Cities PUMA",Paraguay
